ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
georgemartvel/catflw,CatFLW,1446970985,2024-04-16 14:41:04.033000,852,14,0.875
uciml/ct-slice-localization,CAT Scan Localization,18667548,2017-09-06 22:01:03.457000,1171,71,0.7058824
selfishgene/youtube-faces-with-facial-keypoints,YouTube Faces With Facial Keypoints,17411840163,2021-10-06 03:11:11.573000,14209,336,0.9411765
georgemartvel/dogflw,DogFLW,1426348794,2025-07-02 10:19:51.113000,249,4,0.6875
mantasu/face-synthetics-glasses,Face Synthetics Glasses,327747975,2024-02-02 11:18:59,126,3,0.75
anonymousds2025/pet-cats-and-stray-cats-2025,Pet Cats and Stray Cats 2025,1584311146,2025-05-01 06:42:32,63,1,0.625
